volcanonumber,volcanoname,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
353010,fernandina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1476.0,145.0,17.0,1290.470588,1.0,0.0,0.0,1,0.063,1.26,8.1
384010,fogo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.94,2829.0,392.0,2.0,11525.5,1.0,1.0,1.0,0,0.113,1.18,14.3
233020,"fournaise, piton de la",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.0,2632.0,508.0,47.0,378.2340426,1.0,1.0,0.0,0,0.069,1.53,13.2
312260,fourpeaked,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.48,2105.0,12.1,1.0,,0.0,1.0,0.0,0,0.149,1.56,20.2
342090,fuego,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
284133,fukujin,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.89,-217.0,,2.0,4009.0,0.0,1.0,0.0,0,,,
284130,fukutoku-oka-no-ba,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7.71,-29.0,,8.0,4773.5,0.0,1.0,0.0,0,,,
334070,galapagos rift,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.29,-2430.0,,2.0,8769.0,1.0,0.0,0.0,0,,,
351080,galeras,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
263140,galunggung,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2168.0,41.0,2.0,11813.0,1.0,1.0,0.0,0,0.091,1.34,13.4
268060,gamalama,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.84,1715.0,34.3,15.0,1917.066667,0.0,1.0,0.0,0,0.156,1.33,14.9
